Parties,,,,,,,,,,,,,,,,,,
,Lesotho Congress for Democracy,Basutoland Congress Party,Basotho National Party,Marematlou Freedom Party,Independent,Other,All Basotho Convention,Lesotho People's Congress,National Independent Party,Basutoland African Congress,Lesotho Workers Party,Popular Front for Democracy,National Progressive Party,Alliance of Congress Parties,Basotho Democratic National Party,Basotho Batho Democratic Party,Democratic Congress,Reformed Congress of Lesotho
,LCD,BCP,BNP,MFP,Ind,Other,ABC,LPC,NIP,BAC,LWP,PFD,NPP,ACP,BDNP,BBDP,DC,RCL
,#78a22c,green,blue,maroon,black,purple,yellow,grey,pink,grey,brown,grey,grey,grey,grey,grey,red,grey
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Lesotho 2002,,,,,,,,,,,,,,,,,,
,1,,1,1,,1,,1,1,1,1,1,1,,,,,
,77,,0,0,,0,,1,0,0,0,0,0,,,,,
,0,,21,1,,0,,4,5,3,1,1,1,,,,,
,304316,,124234,6890,,7772,,32046,30346,16095,7788,6330,3985,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Lesotho 2007,,,,,,,,,,,,,,,,,,
,1,1,1,1,,1,1,,1,,1,1,,1,1,1,,
,62,0,0,0,,0,17,,0,,0,0,,1,0,0,,
,0,1,3,1,,0,0,,21,,10,1,,1,1,1,,
,0,9823,29965,9129,,3984,0,,229602,,107463,15477,,20263,8783,8474,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Lesotho 2012,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,1,1,1,1,,1,1,,,1,1,1,
,12,0,0,0,0,0,26,0,0,,0,1,,,0,0,41,
,14,1,5,1,0,0,4,1,2,,1,2,,,1,1,7,
,121076,2531,23788,3300,5502,6898,138917,5021,6880,,2408,11166,,,3433,2440,218366,
,,,,,,,,,,,,,,,,,,
Lesotho 2015,,,,,,,,,,,,,,,,,,
,1,1,1,1,1,1,1,1,1,,,1,,,,,1,1
,2,0,1,0,0,0,40,0,0,,,0,,,,,37,0
,10,1,6,1,0,0,6,1,1,,,2,,,,,10,2
,56467,2721,31508,3413,5651,10452,215022,1951,5404,,,9829,,,,,218573,6731
